Name,Title,DateFrom,DateTo,Destination,Purpose,TravelAirGBP,TravelRailGBP,TravelCarTaxiBusGBP,SubsistenceAccommodationMealsGBP,OtherInclHospitalityGivenGBP,TotalGBP
Jason Feeney,Chief Executive,2018-10-01,2018-10-05,London / Birmingham  , Internal Meetings,,407,47.7,326.3,,781
Jason Feeney,Chief Executive,2018-10-08,2018-10-11,London, Internal Meetings,,263,42.1,329.86,,634.96
Jason Feeney,Chief Executive,2018-10-15,2018-10-17,Edinburgh,FSA Board Retreat,,127,58,108,,293
Jason Feeney,Chief Executive,2018-10-22,2018-10-24,London / York, Internal Meetings,,147,26,213.49,,386.49
Jason Feeney,Chief Executive,2018-10-29,2018-10-31,London, Internal Meetings,,263,39,339.9,,641.9
Jason Feeney,Chief Executive,2018-11-05,2018-11-10,London, Internal Meetings,,526,79.2,173.89,,779.09
Jason Feeney,Chief Executive,2018-11-12,2018-11-14,London, Internal Meetings,,240.5,43.3,307.9,,591.7
Jason Feeney,Chief Executive,2018-11-20,2018-11-21,Manchester,FSA Management Conference,,310.2,44.2,176.42,,530.82
Jason Feeney,Chief Executive,2018-11-26,2018-11-28,London, Internal Meetings,,263,47,350.05,,660.05
Jason Feeney,Chief Executive,2018-12-03,2018-12-05,London, Internal Meetings,,263,19.7,300.9,,583.6
Jason Feeney,Chief Executive,2018-12-10,2018-12-12,London, Internal Meetings,,263,39.9,290.44,,593.34
ROD AINSWORTH,Director of Regulatory and Legal Strategy,2018-10-02,2018-10-02,Birmingham,Executive Management Team Meeting,,88,,,,88
ROD AINSWORTH,Director of Regulatory and Legal Strategy,2018-10-07,2018-10-10,Vienna,External Conference,316.9,,80,206.98,,603.88
ROD AINSWORTH,Director of Regulatory and Legal Strategy,2018-10-12,2018-10-12,London, Internal Meetings,,,105,,,105
ROD AINSWORTH,Director of Regulatory and Legal Strategy,2018-10-15,2018-10-15,London, Internal Meetings,,,,125.95,,125.95
ROD AINSWORTH,Director of Regulatory and Legal Strategy,2018-10-16,2018-10-17,Edinburgh,FSA Board Retreat,,101,21,103,,225
ROD AINSWORTH,Director of Regulatory and Legal Strategy,2018-11-02,2018-11-02,,Membership of a Professional Body,,,,,368,368
ROD AINSWORTH,Director of Regulatory and Legal Strategy,2018-11-06,2018-11-07,Liverpool, Internal Meetings,,86.9,,109,,195.9
ROD AINSWORTH,Director of Regulatory and Legal Strategy,2018-11-20,2018-11-21,Manchester,FSA Management Conference,,131,,150,,281
ROD AINSWORTH,Director of Regulatory and Legal Strategy,2018-12-12,2018-12-13,Birmingham, Internal Meetings,,55,,43.25,,98.25
CHRIS HITCHEN, Director of Finance & Performance,2018-10-02,2018-10-03,Birmingham / London,Executive Management Team Meeting,,173.5,41.2,176.73,,391.43
CHRIS HITCHEN, Director of Finance & Performance,2018-10-08,2018-10-08,London, Internal Meetings,,251,15.8,10,,276.8
CHRIS HITCHEN, Director of Finance & Performance,2018-10-09,2018-10-10,London, Internal Meetings,,229.5,40,229.5,,499
CHRIS HITCHEN, Director of Finance & Performance,2018-10-10,2018-10-10,London,Oyster Card Top-Up,,20,,,,20
CHRIS HITCHEN, Director of Finance & Performance,2018-10-16,2018-10-17,Edinburgh,FSA Board Meeting,,165.5,,105.65,,271.15
CHRIS HITCHEN, Director of Finance & Performance,2018-10-23,2018-10-23,London,Stakeholder Engagement,,251,29.6,10,,290.6
CHRIS HITCHEN, Director of Finance & Performance,2018-10-29,2018-10-30,London,Executive Management Team Meeting,,251,16.6,152.6,,420.2
CHRIS HITCHEN, Director of Finance & Performance,2018-11-06,2018-11-06,London,Executive Management Team Meeting,,187.5,32.8,10,,230.3
CHRIS HITCHEN, Director of Finance & Performance,2019-11-13,2018-11-15,London, Internal Meetings,,264,33.8,199.45,,497.25
CHRIS HITCHEN, Director of Finance & Performance,2018-11-20,2018-11-21,Manchester,FSA Management Conference,,34.8,15.5,158.8,,209.1
CHRIS HITCHEN, Director of Finance & Performance,2018-11-26,2018-11-27,London,Executive Management Team Meeting,,264,19.7,157,,440.7
CHRIS HITCHEN, Director of Finance & Performance,2018-12-03,2018-12-05,London,FSA Board Meeting,,264,23.1,501.45,,788.55
CHRIS HITCHEN, Director of Finance & Performance,2018-12-05,2018-12-05,London,Oyster Card Top-Up,,20,,,,20
CHRIS HITCHEN, Director of Finance & Performance,2018-12-10,2018-12-11,London, Internal Meetings,,264,19.4,180.45,,463.85
CHRIS HITCHEN, Director of Finance & Performance,2018-12-17,2018-12-19,London,Executive Management Team Meeting,,132.5,,292.75,,425.25
MARIA JENNINGS,Director of FSA Northern Ireland & Organisational Development,2018-10-02,2018-10-02,Birmingham,Executive Management Team Meeting,147.77,53.8,48.99,203.78,,454.34
MARIA JENNINGS,Director of FSA Northern Ireland & Organisational Development,2018-10-03,2018-10-04,London, Internal Meetings,236.3,25,,19.77,,281.07
MARIA JENNINGS,Director of FSA Northern Ireland & Organisational Development,2018-10-08,2018-10-08,Dublin,Inter-governmental meeting,,22.5,,,,22.5
MARIA JENNINGS,Director of FSA Northern Ireland & Organisational Development,2018-10-12,2018-10-12,Dublin,Inter-governmental meeting,,35,,,,35
MARIA JENNINGS,Director of FSA Northern Ireland & Organisational Development,2018-10-16,2018-10-17,Edinburgh,FSA Board Retreat,69.55,,71.34,103,,243.89
MARIA JENNINGS,Director of FSA Northern Ireland & Organisational Development,2018-10-23,2018-10-25,London/York, Internal Meetings,630.55,37,91.3,194.59,,953.44
MARIA JENNINGS,Director of FSA Northern Ireland & Organisational Development,2018-10-30,2018-10-30,London,Executive Management Team Meeting,404.07,10,37.99,9.77,,461.83
MARIA JENNINGS,Director of FSA Northern Ireland & Organisational Development,2018-11-09,2018-11-09,Belfas,Inter-governmental meeting,,,2.4,,,2.4
MARIA JENNINGS,Director of FSA Northern Ireland & Organisational Development,2018-11-14,2018-11-16,London, Internal Meetings,396.07,37,48.99,208.15,,690.21
MARIA JENNINGS,Director of FSA Northern Ireland & Organisational Development,2018-11-20,2018-11-22,Manchester,FSA Management Conference,149.97,,51.15,155,,356.12
MARIA JENNINGS,Director of FSA Northern Ireland & Organisational Development,2018-11-23,2018-11-24,Birmingham,External Conference,220.09,,33.15,,,253.24
MARIA JENNINGS,Director of FSA Northern Ireland & Organisational Development,2018-11-26,2018-11-29,London, Internal Meetings,475.07,37,62.59,355.54,,930.2
MARIA JENNINGS,Director of FSA Northern Ireland & Organisational Development,2018-12-03,2018-12-03,London, Internal Meetings,404.07,74,37.99,5,,521.06
MARIA JENNINGS,Director of FSA Northern Ireland & Organisational Development,2018-12-04,2018-12-06,London,FSA Board Meeting,343.07,,48.99,248.62,,640.68
MARIA JENNINGS,Director of FSA Northern Ireland & Organisational Development,2018-12-10,2018-12-12,London/York, Internal Meetings,186.48,102.2,58.99,244.75,,592.42
JULIE PIERCE,"Director of Openness, Data and Digital ",2018-10-02,2018-10-03,Birmingham and London,Executive Management Team Meeting,,195.5,10,106.05,,311.55
JULIE PIERCE,"Director of Openness, Data and Digital ",2018-10-09,2018-10-11,London, Internal Meetings,,,32.99,219.81,,252.8
JULIE PIERCE,"Director of Openness, Data and Digital ",2018-10-16,2018-10-17,Edinburgh,FSA Board Retreat,89.44,,82.3,105.5,,277.24
JULIE PIERCE,"Director of Openness, Data and Digital ",2018-10-19,2018-10-19,London,Stakeholder Engagement,,154.3,,,,154.3
JULIE PIERCE,"Director of Openness, Data and Digital ",2018-10-23,2018-10-23,London, Internal Meetings,2.4,105.7,,122.5,,230.6
JULIE PIERCE,"Director of Openness, Data and Digital ",2018-10-24,2018-10-24,York, Internal Meetings,,189.4,2.4,2.3,,194.1
JULIE PIERCE,"Director of Openness, Data and Digital ",2018-10-30,2018-11-01,London,Executive Management Team Meeting,,154.3,17.2,258.18,,429.68
JULIE PIERCE,"Director of Openness, Data and Digital ",2018-11-06,2018-11-07,London, Internal Meetings,,154.3,18.6,122.85,,295.75
JULIE PIERCE,"Director of Openness, Data and Digital ",2018-11-12,2018-11-12,Cardiff ,Stakeholder Engagement,,,9,,,9
JULIE PIERCE,"Director of Openness, Data and Digital ",2018-11-13,2018-11-13,London, Internal Meetings,,211.4,4.8,,,216.2
JULIE PIERCE,"Director of Openness, Data and Digital ",2018-11-15,2018-11-15,London, Internal Meetings,,204.7,4.8,,,209.5
JULIE PIERCE,"Director of Openness, Data and Digital ",2018-11-19,2018-11-19,Bristol,Stakeholder Engagement,,,38,,,38
JULIE PIERCE,"Director of Openness, Data and Digital ",2018-11-20,2018-11-21,Manchester,FSA Management Conference,,183.8,,154.6,,338.4
JULIE PIERCE,"Director of Openness, Data and Digital ",2018-11-27,2018-11-28,London,Executive Management Team Meeting,,147.6,9.6,123.7,,280.9
JULIE PIERCE,"Director of Openness, Data and Digital ",2018-12-03,2018-12-03,London, Internal Meetings,,99,2.4,238,,339.4
JULIE PIERCE,"Director of Openness, Data and Digital ",2018-12-04,2018-12-05,London,FSA Board Meeting,,,12,494.4,,506.4
JULIE PIERCE,"Director of Openness, Data and Digital ",2018-12-06,2018-12-06,London,Staff Event,,105.7,2.4,,,108.1
JULIE PIERCE,"Director of Openness, Data and Digital ",2018-12-10,2018-12-13,London,Executive Management Team Meeting,,211.4,23.8,118.45,,353.65
JULIE PIERCE,"Director of Openness, Data and Digital ",2018-12-17,2018-12-18,London, Internal Meetings,,105.7,2.4,198.07,,306.17
JULIE PIERCE,"Director of Openness, Data and Digital ",2018-12-19,2018-12-19,York,Staff Event,,203.9,8.4,2,23.98,238.28
STEVE WEARNE,Director of Policy,2018-10-02,2018-10-02,Birmingham,Executive Management Team Meeting,,55,,105,,160
