Name,Title,DateFrom,DateTo,Destination,Purpose,TravelAirGBP,TravelRailGBP,TravelCarTaxiGBP,AccommodationMealsGBP,OtherInclHospitalityGivenGBP,TotalGBP,Notes
Catherine Brown,Chief Executive,2016-10-03,2016-10-03,Gloucestershire,Official Meeting,,53.2,,,,53.2,
Catherine Brown,Chief Executive,2016-10-04,2016-10-04,Cardiff,Speaker at Conference,,106.4,,,,106.4,
Catherine Brown,Chief Executive,2016-10-05,2016-10-05,London ,Official Meeting,,,15.45,,,15.45,
Catherine Brown,Chief Executive,2016-10-10,2016-10-10,London,Official Meeting,,,16.35,,,16.35,
Catherine Brown,Chief Executive,2016-10-11,2016-10-12,London ,Official Meetings / FSA Parliamentary Reception,,,,166,,166,
Catherine Brown,Chief Executive,2016-10-17,2016-10-19,Leeds,FSA Board Retreat,,145.8,,116,,261.8,
Catherine Brown,Chief Executive,2016-11-01,2016-11-01,London,Official meeting,,,10,,,10,
Catherine Brown,Chief Executive,2016-11-09,2016-11-10,York,Executive Management Team Meeting,,202.6,,94,,296.6,
Catherine Brown,Chief Executive,2016-11-15,2016-11-15,London ,Event attendance,,,,166,,166,
Catherine Brown,Chief Executive,2016-11-21,2016-11-23,Cardiff,FSA Board Meeting,,163.2,,96.49,,259.69,
Catherine Brown,Chief Executive,2016-11-30,2016-11-30,Birmingham ,Executive Management Team Meeting,,49,10,,,59,
Catherine Brown,Chief Executive,2016-12-01,2016-12-02,Cardiff,Executive Management Team Meeting / Official Meeting,,109.6,65,135.53,,310.13,
Catherine Brown,Chief Executive,2016-12-13,2016-12-13,London,Official Meeting,,,,111.95,,111.95,
Rod Ainsworth,Director of Regulatory and Legal Strategy,2016-10-12,2016-10-13,Belfast,Official Meeting,329.64,22,77.6,121.95,,551.19,
Rod Ainsworth,Director of Regulatory and Legal Strategy,2016-10-17,2016-10-19,Leeds,FSA Board Retreat,,123.3,,95,,218.3,
Rod Ainsworth,Director of Regulatory and Legal Strategy,2016-10-19,2016-10-21,"Bratislavia, Slovakia",Attendance at Conference,67.18,,,198,25,290.18,
Rod Ainsworth,Director of Regulatory and Legal Strategy,2016-10-31,2016-10-31,,Professional Fees,,,,,322,322,
Rod Ainsworth,Director of Regulatory and Legal Strategy,2016-11-03,2016-11-04,"Oslo, Norway",Attendance at  Conference,301.81,,97.74,147.13,,546.68,
Rod Ainsworth,Director of Regulatory and Legal Strategy,2016-11-09,2016-11-10,York,Executive Management Team Meeting,,116.2,,,,116.2,
Rod Ainsworth,Director of Regulatory and Legal Strategy,2016-11-16,2016-11-17,Leamington Spa,Attendance at Conference,,14,,,,14,
Rod Ainsworth,Director of Regulatory and Legal Strategy,2016-11-21,2016-11-23,Cardiff,Executive Management Team Meeting,,153,,180,,333,
