Name,Title,DateFrom,DateTo,Destination,Purpose,TravelAirGBP,TravelRailGBP,TravelCarTaxiBusGBP,SubsistenceAccommodationMealsGBP,OtherInclHospitalityGivenGBP,TotalGBP,Notes
ROD AINSWORTH,Director of Regulatory and Legal Strategy/Interim Chief Executive,2019-08-01,2019-08-02,Birmingham, Internal Meetings,,68.9,,98.6,,167.5,
ROD AINSWORTH,Director of Regulatory and Legal Strategy/Interim Chief Executive,2019-09-17,2019-09-18,Belfast,FSA Board Meeting,194.8,,,122,,316.8,
CHRIS HITCHEN, Director of Finance & Performance,2019-07-02,2019-07-02,London, Internal Meetings,,265,29.6,10,,304.6,
CHRIS HITCHEN, Director of Finance & Performance,2019-07-23,2019-07-23,London, Internal Meetings,,265,31.6,6.49,,303.09,
CHRIS HITCHEN, Director of Finance & Performance,2019-07-29,2019-07-29,NA,External Conference,,,,,474,474,Payment for CLG Finance Conference 
CHRIS HITCHEN, Director of Finance & Performance,2019-07-29,2019-07-30,London, Internal Meetings,,252,29.5,117.3,,398.8,
CHRIS HITCHEN, Director of Finance & Performance,2019-08-06,2019-08-06,London, Internal Meetings,,265,28.5,10,,303.5,
CHRIS HITCHEN, Director of Finance & Performance,2019-08-27,2019-08-27,London, Internal Meetings,,171,29.2,10,,210.2,
CHRIS HITCHEN, Director of Finance & Performance,2019-09-01,2019-09-01,NA,NA,,,,,8.25,8.25,
CHRIS HITCHEN, Director of Finance & Performance,2019-09-03,2019-09-03,London, Internal Meetings,,179,30.4,6.55,,215.95,
CHRIS HITCHEN, Director of Finance & Performance,2019-09-10,2019-09-10,London, Internal Meetings,,165.5,34.7,10,,210.2,
CHRIS HITCHEN, Director of Finance & Performance,2019-09-16,2019-09-18,Belfast,FSA Board Meeting,182.52,,30.9,149.95,,363.37,
CHRIS HITCHEN, Director of Finance & Performance,2019-09-22,2019-09-22,NA,NA,,,,,9.99,9.99,
CHRIS HITCHEN, Director of Finance & Performance,2019-09-23,2019-09-24,London, Internal Meetings,,273,29.4,159.85,,462.25,
