Name,Title,DateFrom,DateTo,Destination,Purpose,TravelAirGBP,TravelRailGBP,TravelCarTaxiGBP,AccommodationMealsGBP,OtherInclHospitalityGivenGBP,TotalGBP,Notes
Catherine Brown,Chief Executive ,2016-07-11,2016-07-12,London,Speaker at conference,,,15.95,295,,310.95,
Catherine Brown,Chief Executive ,2016-07-19,2016-07-19,London,Official Meeting,,,30.9,,,30.9,
Catherine Brown,Chief Executive ,2016-07-20,2016-07-20,London,Executive Management Team Meeting,,,,101.28,,101.28,
Catherine Brown,Chief Executive ,2016-07-25,2016-07-25,Swaffam,Stakeholder event,,33.4,280,122.68,,436.08,
Catherine Brown,Chief Executive ,2016-07-25,2016-07-26,York,Official Meeting,,112,10,214.67,,336.67,
Catherine Brown,Chief Executive ,2016-08-02,2016-08-02,London,Stakeholder event/visit,,,,92.28,,92.28,
Catherine Brown,Chief Executive ,2016-08-03,2016-08-03,London,Official Meeting,,,41.3,,,41.3,
Catherine Brown,Chief Executive ,2016-08-16,2016-08-17,Woking,Executive Management Team Meeting,,82.8,6,83.29,,172.09,
Catherine Brown,Chief Executive ,2016-08-31,2016-08-31,Lonndon,Official Meeting,,,,79,,79,
Catherine Brown,Chief Executive ,2016-09-06,2016-09-06,Cardiff,Official Meeting,,169.1,,,,169.1,
Catherine Brown,Chief Executive ,2016-09-07,2016-09-07,Highgrove,Stakeholder Meeting,,,75,,,75,
Catherine Brown,Chief Executive ,2016-09-07,2016-09-08,Cirencester,Executive Management Team Meeting,,48.5,,168,,216.5,
Catherine Brown,Chief Executive ,2016-09-09,2016-09-09,Oxford,Stakeholder Meeting,,,85,,,85,
Catherine Brown,Chief Executive ,2016-09-12,2016-09-12,Dublin,Official Meeting,68.15,,48.8,116.94,,233.89,
Catherine Brown,Chief Executive ,2016-09-13,2016-09-17,America ,Attendance at Conference,704.2,402,43.19,1158.32,,2307.71,
Catherine Brown,Chief Executive ,2016-09-20,2016-09-21,London,FSA Board Meeting,,,,198.65,,198.65,
Catherine Brown,Chief Executive ,2016-09-22,2016-09-23,Cardiff,Official Meeting,,108.7,,69,,177.7,
Catherine Brown,Chief Executive ,2016-09-24,2016-09-24,Birmingham,Official Meeting,,,150,,,150,
Catherine Brown,Chief Executive ,2016-09-26,2016-09-27,York / London,Official Meeting,,119.6,11,120.15,,250.75,
Catherine Brown,Chief Executive ,2016-09-28,2016-09-28,London,Executive Management Team Meeting,,,,232.93,,232.93,
Rod Ainsworth,Director of Regulatory and Legal Strategy ,2016-07-12,2016-07-13,London,FSA Board Meeting,,,,143,,143,
Rod Ainsworth,Director of Regulatory and Legal Strategy ,2016-08-10,2016-08-11,York,Official Meeting,,88.15,,,,88.15,
Rod Ainsworth,Director of Regulatory and Legal Strategy ,2016-08-16,2016-08-17,Woking,Executive Management Team Meeting,,22,,191.92,,213.92,
Rod Ainsworth,Director of Regulatory and Legal Strategy ,2016-09-07,2016-09-08,Cirencester,Executive Management Team Meeting,,96.1,,168,,264.1,
Rod Ainsworth,Director of Regulatory and Legal Strategy ,2016-09-14,2016-09-15,Birmingham,Senior Leadership Team Meeting,,52.05,,,,52.05,
Rod Ainsworth,Director of Regulatory and Legal Strategy ,2016-09-20,2016-09-21,London,FSA Board Meeting,,,,178,,178,
Rod Ainsworth,Director of Regulatory and Legal Strategy ,2016-09-28,2016-09-29,London,Executive Management Team Meeting,,,,195,,195,
Jason Feeney,Chief Operating Officer,2016-07-04,2016-07-04,London,Official Meeting  ,,174.5,25.2,6.89,,206.59,
Jason Feeney,Chief Operating Officer,2016-07-06,2016-07-06,York,Official Meeting  ,,,29.25,,,29.25,
Jason Feeney,Chief Operating Officer,2016-07-07,2016-07-07,York,Official Meeting  ,,,29.25,,,29.25,
Jason Feeney,Chief Operating Officer,2016-07-08,2016-07-08,York,Official Meeting  ,,,29.25,,,29.25,
Jason Feeney,Chief Operating Officer,2016-07-12,2016-07-13,London,Board Meeting,,139.05,58.2,143,,340.25,
Jason Feeney,Chief Operating Officer,2016-07-14,2016-07-14,York,Official Meeting  ,,,,3.3,,3.3,
Jason Feeney,Chief Operating Officer,2016-07-18,2016-07-18,York,Official Meeting  ,,,29.25,,,29.25,
Jason Feeney,Chief Operating Officer,2016-07-20,2016-07-21,London,Executive Management Team Meeting / Senior Leadership Team Meeting,,185.9,7.2,115.53,,308.63,
Jason Feeney,Chief Operating Officer,2016-07-25,2016-07-25,York,Official Meeting  ,,,29.25,,,29.25,
Jason Feeney,Chief Operating Officer,2016-08-01,2016-08-01,York,Official Meeting  ,,,29.25,,,29.25,
Jason Feeney,Chief Operating Officer,2016-08-02,2016-08-03,London,Official Meeting  ,,244,7.2,136.65,,387.85,
Jason Feeney,Chief Operating Officer,2016-08-08,2016-08-08,York,Official Meeting  ,,,29.25,,,29.25,
Jason Feeney,Chief Operating Officer,2016-08-09,2016-08-09,Harrogate,Official Meeting  ,,,7.2,,,7.2,
Jason Feeney,Chief Operating Officer,2016-08-10,2016-08-10,Essex,Offical Visits,,159,55.2,84.05,,298.25,
Jason Feeney,Chief Operating Officer,2016-08-16,2016-08-17,Woking,Executive Management Team Meeting,,125,34,83.29,,242.29,
Jason Feeney,Chief Operating Officer,2016-08-17,2016-08-17,Aberdeen,Official Meeting  ,277.81,,37.6,98.25,,413.66,
Jason Feeney,Chief Operating Officer,2016-08-22,2016-08-22,Preston,Offical Visit ,,,33.3,,,33.3,
Jason Feeney,Chief Operating Officer,2016-08-24,2016-08-24,York,Official Meeting  ,,,29.25,,,29.25,
Jason Feeney,Chief Operating Officer,2016-09-05,2016-09-05,York,Official Meeting  ,,,29.25,,,29.25,
Jason Feeney,Chief Operating Officer,2016-09-07,2016-09-08,Cirencester,Executive Management Team Meeting,,60.25,80.65,175.25,,316.15,
Jason Feeney,Chief Operating Officer,2016-09-12,2016-09-12,York,Official meeting  ,,,29.25,,,29.25,
Jason Feeney,Chief Operating Officer,2016-09-14,2016-09-15,Birmingham / Cardiff,Senior Leadership Team Meeting / Offical Meeting,,228.9,57.7,107,,393.6,
Jason Feeney,Chief Operating Officer,2016-09-16,2016-09-17,Newport,Official Visit,,,29.77,,,29.77,
Jason Feeney,Chief Operating Officer,2016-09-19,2016-09-19,Leeds,Official Meeting  ,,,9.2,,,9.2,
Jason Feeney,Chief Operating Officer,2016-09-20,2016-09-21,London,FSA Board Meeting,,113,3.6,184.8,,301.4,
Jason Feeney,Chief Operating Officer,2016-09-21,2016-09-22,Cardiff,Stakeholder Visit,,154.2,5.9,112.3,,272.4,
Jason Feeney,Chief Operating Officer,2016-09-23,2016-09-23,Birmingham ,Official Meeting  ,,117.1,26.2,3.84,,147.14,
Jason Feeney,Chief Operating Officer,2016-09-24,2016-09-24,Birmingham,Official Meeting  ,,63.9,26.2,,,90.1,
Jason Feeney,Chief Operating Officer,2016-09-27,2016-09-27,York,Official Meeting  ,,,29.25,,,29.25,
Chris Hitchen,Director of Finance & Performance,2016-07-12,2016-07-13,London,Official Meetings,,178.65,,153,,331.65,
Chris Hitchen,Director of Finance & Performance,2016-07-20,2016-07-21,London,Executive Management Team Meeting,,185.9,,127.27,,313.17,
Chris Hitchen,Director of Finance & Performance,2016-07-26,2016-07-26,London,Official Meetings,,224,19,8.29,,251.29,
Chris Hitchen,Director of Finance & Performance,2016-08-02,2016-08-02,London,Executive Management Team Meeting / Official Meetings,,161.6,,9.94,,171.54,
Chris Hitchen,Director of Finance & Performance,2016-09-01,2016-09-01,London,Official Meetings,,224,,8.44,,232.44,
Chris Hitchen,Director of Finance & Performance,2016-09-07,2016-09-08,Cirencester,Executive Management Team Meeting,,60,45,193,,298,
Chris Hitchen,Director of Finance & Performance,2016-09-14,2016-09-15,Birmingham,Official Meetings / Senior Leadership Team Meeting ,,116.1,,160,,276.1,
Chris Hitchen,Director of Finance & Performance,2016-09-19,2016-09-19,London,Official Meetings,,165.15,,10,,175.15,
Chris Hitchen,Director of Finance & Performance,2016-09-20,2016-09-21,London,FSA Board Meeting / Official Meetings,,113,14,115.12,,242.12,
Chris Hitchen,Director of Finance & Performance,2016-09-27,2016-09-27,London,Official Meetings,,226,,10,,236,
Chris Hitchen,Director of Finance & Performance,2016-09-28,2016-09-29,London,Executive Management Team Meeting,,136.65,27,223.58,,387.23,
Maria Jennings,Director of Northern Ireland & Organisational Development,2016-07-12,2016-07-13,London,FSA Board Meeting,163.64,36.5,54.81,153.45,,408.4,
Maria Jennings,Director of Northern Ireland & Organisational Development,2016-07-20,2016-07-20,London,Oyster Card Top-up,,50,,,,50,
Maria Jennings,Director of Northern Ireland & Organisational Development,2016-07-20,2016-07-21,London,Executive Management Team Meeting / Senior Leadership Team Meeting  ,426.98,,52.65,353.75,,833.38,
Maria Jennings,Director of Northern Ireland & Organisational Development,2016-08-07,2016-08-08,York,Official Meetings,128.14,,100,,,228.14,
Maria Jennings,Director of Northern Ireland & Organisational Development,2016-08-16,2016-08-17,Woking,Executive Management Team Meeting,217.64,21.5,51.81,83.29,191.18,565.42,191.18 - Evening meal with 9 FSA staff 
Maria Jennings,Director of Northern Ireland & Organisational Development,2016-08-18,2016-08-18,Dublin,Cancelled Official Meeting,,23,,,,23,
Maria Jennings,Director of Northern Ireland & Organisational Development,2016-08-31,2016-08-31,Belfast,Stakeholder Reception,,,5,,,5,
Maria Jennings,Director of Northern Ireland & Organisational Development,2016-09-06,2016-09-06,London,Official Meetings,177.64,22.5,61.81,147.33,,409.28,
Maria Jennings,Director of Northern Ireland & Organisational Development,2016-09-07,2016-09-08,Cirenester,Executive Management Team Meeting,,104.7,,168,,272.7,
Maria Jennings,Director of Northern Ireland & Organisational Development,2016-09-13,2016-09-13,Dublin,Stakeholder event / visit,,15,,,,15,
Maria Jennings,Director of Northern Ireland & Organisational Development,2016-09-14,2016-09-14,Birmingham,Senior Leadership Team Meeting  ,328.06,7.35,49.65,,,385.06,
Maria Jennings,Director of Northern Ireland & Organisational Development,2016-09-19,2016-09-19,Belfast,Stakeholder Reception,,,6.3,,,6.3,
Maria Jennings,Director of Northern Ireland & Organisational Development,2016-09-20,2016-09-22,London,FSA Board Meeting ,238.64,,82.65,183.8,,505.09,
Maria Jennings,Director of Northern Ireland & Organisational Development,2016-09-27,2016-09-27,Belfast,Attendance at Conference/ Lecture ,,,6.3,,,6.3,
Julie Pierce,"Director of Openness, Data and Digital",2016-07-05,2016-07-05,Birmingham,Stakeholder Event ,,89.8,,,,89.8,
Julie Pierce,"Director of Openness, Data and Digital",2016-07-12,2016-07-13,London,FSA Board Meeting ,,,,143,,143,
Julie Pierce,"Director of Openness, Data and Digital",2016-07-25,2016-07-28,London,Official Meeting ,,142.4,4.8,325.89,,473.09,
Julie Pierce,"Director of Openness, Data and Digital",2016-08-02,2016-08-02,London,Official Meeting ,,99,2.4,108.63,,210.03,
Julie Pierce,"Director of Openness, Data and Digital",2016-08-03,2016-08-04,York,Official Meeting ,,70.1,16.3,93.25,,179.65,
Julie Pierce,"Director of Openness, Data and Digital",2016-08-08,2016-08-08,Cardiff,Official Meeting ,,14.4,11,,,25.4,
Julie Pierce,"Director of Openness, Data and Digital",2016-08-09,2016-08-11,London,Official Meeting ,,112.4,4.8,208.86,,326.06,
Julie Pierce,"Director of Openness, Data and Digital",2016-08-23,2016-08-25,London,Official Meeting ,,101.9,4.8,216.36,,323.06,
Julie Pierce,"Director of Openness, Data and Digital",2016-08-31,2016-09-01,London,Official Meeting ,,112.4,4.8,100.68,,217.88,
Julie Pierce,"Director of Openness, Data and Digital",2016-09-06,2016-09-06,London,Official Meeting ,,69,2.4,,,71.4,
Julie Pierce,"Director of Openness, Data and Digital",2016-09-07,2016-09-08,Cirencester,Executive Management Team Meeting,,49.3,2.1,168,,219.4,
Julie Pierce,"Director of Openness, Data and Digital",2016-09-13,2016-09-13,London,Official Meeting ,,64,2.4,7.5,,73.9,
Julie Pierce,"Director of Openness, Data and Digital",2016-09-14,2016-09-15,Birmingham,Senior Leadership Team Meeting,,139.3,6,112.1,,257.4,
