Name,Title,DateFrom,DateTo,Destination,Purpose,TravelAirGBP,TravelRailGBP,TravelCarTaxiBusGBP,SubsistenceAccommodationMealsGBP,OtherInclHospitalityGivenGBP,TotalGBP,Notes
Jason Feeney,Chief Executive,2019-01-03,2019-01-09,Belfast,Executive Management Team Meeting,,,10,53.35,,63.35,
Jason Feeney,Chief Executive,2019-01-14,2019-01-21,Warwickshire,Office / Site Visit,,,20,258.86,,278.86,
Jason Feeney,Chief Executive,2019-01-28,2019-02-05,London, Internal Meetings,,,,32.91,,32.91,
Jason Feeney,Chief Executive,2019-02-07,2019-02-19,London, Internal Meetings,,,46.6,63.55,,110.15,
Jason Feeney,Chief Executive,2019-02-26,2019-03-13,London, Internal Meetings,,,35.78,190.35,,226.13,
ROD AINSWORTH,Director of Regulatory and Legal Strategy,2019-01-08,2019-01-09,Brussels,External Conference,,174,,,,174,
ROD AINSWORTH,Director of Regulatory and Legal Strategy,2019-02-13,2019-02-14,Belfast, Internal Meetings,199.96,,,,,199.96,
ROD AINSWORTH,Director of Regulatory and Legal Strategy,2019-02-04,2019-02-05,York, Internal Meetings,,96,,,,96,
ROD AINSWORTH,Director of Regulatory and Legal Strategy,2019-03-27,2019-03-28,Dublin,External Conference,135.54,,,,,135.54,
CHRIS HITCHEN, Director of Finance & Performance,2019-01-08,2019-01-08,London, Internal Meetings,,270.8,28.5,10,,309.3,
CHRIS HITCHEN, Director of Finance & Performance,2019-01-15,2019-01-15,London,Executive Management Team Meeting,,270.8,31.8,8.95,,311.55,
CHRIS HITCHEN, Director of Finance & Performance,2019-01-21,2019-01-22,London,FSA Board Retreat,,199.85,,221.51,,421.36,
CHRIS HITCHEN, Director of Finance & Performance,2019-01-22,2019-01-23,London, Internal Meetings,,4.8,15.8,175,,195.6,
CHRIS HITCHEN, Director of Finance & Performance,2019-01-31,2019-01-31,London, Internal Meetings,,266,28.3,3.94,9.99,308.23,
CHRIS HITCHEN, Director of Finance & Performance,2019-02-05,2019-02-05,London,Executive Management Team Meeting,,266,32.2,10,,308.2,
CHRIS HITCHEN, Director of Finance & Performance,2019-02-12,2019-02-12,London, Internal Meetings,,266,28.1,10,,304.1,
CHRIS HITCHEN, Director of Finance & Performance,2019-02-26,2019-02-26,London,Inter-governmental meeting,,266,13.9,10,,289.9,
CHRIS HITCHEN, Director of Finance & Performance,2019-02-27,2019-02-27,London,Inter-governmental meeting,,172,14.3,7.1,,193.4,
CHRIS HITCHEN, Director of Finance & Performance,2019-03-06,2019-03-06,London,Senior Leadership Team Meeting,,266,30.1,10,,306.1,
CHRIS HITCHEN, Director of Finance & Performance,2019-03-08,2019-03-08,London,Oyster Card Top-Up,,20,,,,20,
CHRIS HITCHEN, Director of Finance & Performance,2019-03-12,2019-03-13,London,FSA Board Meeting,,188.75,12.8,180.95,,382.5,
CHRIS HITCHEN, Director of Finance & Performance,2019-03-18,2019-03-19,London, Internal Meetings,,188.75,29.5,179.35,,397.6,
CHRIS HITCHEN, Director of Finance & Performance,2019-03-25,2019-03-26,London,Executive Management Team Meeting,,265,15.1,160.53,,440.63,
MARIA JENNINGS,Director of FSA Northern Ireland & Organisational Development,2019-01-03,2019-01-03,Belfast,Office / Site Visit,,,2.7,,,2.7,
MARIA JENNINGS,Director of FSA Northern Ireland & Organisational Development,2019-01-15,2019-01-16,London,Executive Management Team Meeting,271.21,37,2.7,197.42,51.15,559.48,Paid for dinner for 3 (FSA officials)
MARIA JENNINGS,Director of FSA Northern Ireland & Organisational Development,2019-01-22,2019-01-22,Stormont,Inter-governmental meeting,,,6.3,,,6.3,
MARIA JENNINGS,Director of FSA Northern Ireland & Organisational Development,2019-01-23,2019-01-24,London, Internal Meetings,200.21,42,2.7,216.77,40.15,501.83,Paid for dinner for 3 (FSA officials)
MARIA JENNINGS,Director of FSA Northern Ireland & Organisational Development,2019-01-28,2019-01-29,London,Executive Management Team Meeting,187.21,37,2.7,275.65,51.15,553.71,
MARIA JENNINGS,Director of FSA Northern Ireland & Organisational Development,2019-02-12,2019-02-13,London, Internal Meetings,266.21,37,2.7,135.5,,441.41,
MARIA JENNINGS,Director of FSA Northern Ireland & Organisational Development,2019-02-22,2019-02-22,Dublin,Inter-governmental meeting,110.81,,,,,110.81,
MARIA JENNINGS,Director of FSA Northern Ireland & Organisational Development,2019-02-24,2019-02-28,Nice,External Conference,166.94,,30,456.42,,653.36,Paid for evening meals (FSA officials & other delegates) on 24/02/19 and again on 25/02/19
MARIA JENNINGS,Director of FSA Northern Ireland & Organisational Development,2019-03-05,2019-03-06,London,Senior Leadership Team Meeting,,37,2.7,160.25,48.99,248.94,
MARIA JENNINGS,Director of FSA Northern Ireland & Organisational Development,2019-03-12,2019-03-14,London, Internal Meetings,236.21,37,2.7,39.89,58.99,374.79,
MARIA JENNINGS,Director of FSA Northern Ireland & Organisational Development,2019-03-19,2019-03-19,Stormont,Inter-governmental meeting,,,3.15,,,3.15,
MARIA JENNINGS,Director of FSA Northern Ireland & Organisational Development,2019-03-22,2019-03-22,Belfast,Stakeholder Engagement,,,20.7,,,20.7,
MARIA JENNINGS,Director of FSA Northern Ireland & Organisational Development,2019-03-26,2019-03-26,London, Internal Meetings,307.76,37,2.7,17.85,35.63,400.94,
MARIA JENNINGS,Director of FSA Northern Ireland & Organisational Development,2019-03-27,2019-03-28,Dublin,Inter-governmental meeting,,28.79,17.55,183.18,,229.52,
MARIA JENNINGS,Director of FSA Northern Ireland & Organisational Development,2019-03-31,2019-03-31,London,Oyster Card Top-Up,,,,,60,60,
JULIE PIERCE,"Director of Openness, Data and Digital ",2019-01-03,2019-01-03,Belfast ,Stakeholder Engagement,215.98,,66.7,15,,297.68,
JULIE PIERCE,"Director of Openness, Data and Digital ",2019-01-08,2019-01-09,London, Internal Meetings,,218,4.8,115,,337.8,
JULIE PIERCE,"Director of Openness, Data and Digital ",2019-01-15,2019-01-16,London, Internal Meetings,,113.6,4.8,144.25,,262.65,
JULIE PIERCE,"Director of Openness, Data and Digital ",2019-01-17,2019-01-17,Bristol,Stakeholder Engagement,,,,,4.3,4.3,
